[2026-06-07T02:17:48.403Z] GET https://www.basketball-reference.com/teams/SAS/2026.html → pending (?ms, ?B)
[2026-06-07T02:17:56.738Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/espnfitt-4be98d9b.js → 200 (473ms, ?B)
[2026-06-07T02:17:56.738Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/team.stats-b132d699.js → 200 (650ms, ?B)
[2026-06-07T02:17:56.925Z] GET https://www.datadoghq-browser-agent.com/us1/v5/datadog-rum.js → pending (?ms, ?B)
[2026-06-07T02:17:56.926Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/_manifest.js → 200 (248ms, 47737B)
[2026-06-07T02:17:56.926Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/espn-en-0193295f.js → 200 (249ms, 208120B)
[2026-06-07T02:17:56.926Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/espnfitt-4be98d9b.js → 200 (249ms, 591854B)
[2026-06-07T02:17:56.926Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/team.stats-b132d699.js → 200 (285ms, 44717B)
[2026-06-07T02:17:57.047Z] GET https://secure.espncdn.com/redesign/assets/img/logos/logo-espn-82x20.png → pending (?ms, ?B)
[2026-06-07T02:17:57.047Z] GET https://a.espncdn.com/fonts/_BentonSans/BentonSansMedium-i18n-support.woff2 → 200 (553ms, 40644B)
[2026-06-07T02:17:57.047Z] GET https://a.espncdn.com/fonts/_BentonSans/BentonSansRegular-i18n-support.woff2 → 200 (603ms, 39924B)
[2026-06-07T02:17:57.387Z] GET https://pcs.bamgrid.com/v1/espn?namespaces=web&brand=google&platform=chrome → 200 (211ms, 575B)
[2026-06-07T02:17:57.405Z] GET https://pinpoint.espn.com/geo → pending (?ms, ?B)
[2026-06-07T02:17:57.482Z] GET https://site.web.api.espn.com/apis/site/v2/content/14274856/categories?lang=en&limit=50 → pending (?ms, ?B)
[2026-06-07T02:17:57.482Z] GET https://cdn.registerdisney.go.com/v4/OneID.js → pending (?ms, ?B)
[2026-06-07T02:17:57.482Z] GET https://client-sdk-configs.bamgrid.com/bam-sdk/v7.0/espn-a9b93989/browser/v35.2/macosx/chrome/prod.json → 200 (191ms, 84218B)
[2026-06-07T02:17:57.560Z] GET https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&h=200&w=200 → pending (?ms, ?B)
[2026-06-07T02:17:57.560Z] GET https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sa.png&scale=crop&cquality=40&location=origin&w=64&h=64 → pending (?ms, ?B)
[2026-06-07T02:17:57.560Z] GET https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5104157.png&h=96&w=96&scale=crop → pending (?ms, ?B)
[2026-06-07T02:17:57.560Z] GET https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4845367.png&h=96&w=96&scale=crop → pending (?ms, ?B)
[2026-06-07T02:17:57.560Z] GET https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4395630.png&h=96&w=96&scale=crop → pending (?ms, ?B)
[2026-06-07T02:17:57.570Z] GET https://a.espncdn.com/redesign/assets/img/logos/espn-404@2x.png → pending (?ms, ?B)
[2026-06-07T02:17:57.571Z] GET https://a.espncdn.com/assets/icons/appTile.svg → pending (?ms, ?B)
[2026-06-07T02:17:57.571Z] GET https://a.espncdn.com/assets/icons/fantasy-white.svg → pending (?ms, ?B)
[2026-06-07T02:17:57.599Z] GET https://pcs.bamgrid.com/v1/espn?namespaces=hive-dmp → 200 (68ms, 319B)
[2026-06-07T02:17:57.668Z] GET https://hiveplayer-static.bamgrid.com/artifacts/hive/playback-service/26.5.0-esmeralda/all_browser_es5/playback-service.js → pending (?ms, ?B)
[2026-06-07T02:17:57.679Z] POST https://espn.api.edge.bamgrid.com/graph/v1/device/graphql → pending (?ms, ?B)
[2026-06-07T02:17:58.035Z] GET https://pcs.bamgrid.com/v1/espn?brand=google&platform=chrome&os=macos&namespaces=hive-dmp,ads,pqm → 200 (67ms, 1794B)
[2026-06-07T02:17:58.141Z] GET https://espn.api.edge.bamgrid.com/dictionary/v1/dictionaries?variables={%22dictionary%22:[{%22resourceKey%22:%22accessibility%22,%22version%22:%22latest%22},{%22resourceKey%22:%22application%22,%22version%22:%22latest%22},{%22resourceKey%22:%22media%22,%22version%22:%22latest%22},{%22resourceKey%22:%22sdk-errors%22,%22version%22:%22latest%22}],%22location%22:%22CN%22,%22pinnedPlatformVersion%22:%221.0%22,%22pinnedPlatformName%22:%22web%22,%22platform%22:%22web%22,%22preferredLanguage%22:%22en%22,%22tenant%22:%22espn%22} → 200 (110ms, 207014B)
[2026-06-07T02:17:58.434Z] GET https://site.web.api.espn.com/apis/personalized/v2/scoreboard/header?sport=basketball&league=nba&region=us&lang=en&contentorigin=espn&configuration=STREAM_MENU&platform=web&features=sfb-all%2Ccutl&buyWindow=1m&showAirings=buy%2Clive%2Creplay&showZipLookup=true&tz=America%2FNew_York&postalCode=100000&playabilitySource=playbackId → 200 (226ms, 15116B)
[2026-06-07T02:17:58.665Z] GET https://cdn.registerdisney.go.com/v4/bundle/web/ESPN-ONESITE.WEB/en-US?cssOverride=https%3A%2F%2Fsecure.espncdn.com%2Fcombiner%2Fc%3Fcss%3Ddisneyid%2Fcorev4.css&logLevel=INFO → pending (?ms, ?B)
[2026-06-07T02:17:58.666Z] GET https://www.espn.com/login/responder/v4/index.html?clientId=ESPN-ONESITE.WEB&environment=PROD → pending (?ms, ?B)
[2026-06-07T02:17:58.673Z] GET https://cdn.taboola.com/libtrc/espn-network/loader.js → pending (?ms, ?B)
[2026-06-07T02:17:58.673Z] GET https://secure.espncdn.com/js/omniture/tracking.js → pending (?ms, ?B)
[2026-06-07T02:17:58.673Z] GET https://secure.espncdn.com/ad/doubleclick/ads.js → pending (?ms, ?B)
[2026-06-07T02:17:58.673Z] GET https://secure.espncdn.com/connected-devices/espn-watchsdk-js/4.6.8/dist/espn-watchsdk-web-umd.min.js → pending (?ms, ?B)
[2026-06-07T02:17:58.682Z] GET https://secure.espncdn.com/i/espnicons/Symbol_Defs--v49.svg → pending (?ms, ?B)
[2026-06-07T02:17:58.732Z] GET https://cdn.registerdisney.go.com/v4/responder.js → 200 (640ms, 8348B)
[2026-06-07T02:17:58.785Z] GET https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/scoreboard/sa.png&w=32&h=32&scale=crop&cquality=40&location=origin → 200 (194ms, 1338B)
[2026-06-07T02:17:58.785Z] GET https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/scoreboard/ny.png&w=32&h=32&scale=crop&cquality=40&location=origin → 200 (196ms, 1657B)
[2026-06-07T02:17:59.216Z] GET https://log.espn.com/log?srvc=sz&silent&returnBody=SWID&responseType=JSON → pending (?ms, ?B)
[2026-06-07T02:17:59.217Z] GET https://a.espncdn.com/connected-devices/app-configurations/espn-js-sdk-web-2.0.config.json → 200 (187ms, 3104B)
[2026-06-07T02:17:59.217Z] GET https://entitlement.auth.adobe.com/entitlement/v4/AccessEnabler.js → pending (?ms, ?B)
[2026-06-07T02:17:59.217Z] GET https://broadband.espn.com/espn3/auth/watchespn/user?partner=watchespn&platform=web → 200 (227ms, 307B)
[2026-06-07T02:17:59.380Z] GET https://cdn.registerdisney.go.com/v4/asset/bundler/ESPN/v4/images/v2/espn-red-logo.svg → 200 (187ms, 1258B)
[2026-06-07T02:17:59.403Z] GET https://www.google.com/recaptcha/enterprise.js?onload=grecaptcha1780798679389&render=6LciB_gZAAAAAA_mwJ4G0XZ0BXWvLTt67V7YizXx&hl=en → pending (?ms, ?B)
[2026-06-07T02:17:59.403Z] GET https://cdn.registerdisney.go.com/v4/asset/images/svgs/myDisneyDark.svg → 200 (185ms, 8205B)
[2026-06-07T02:17:59.403Z] GET https://fonts.gstatic.com/s/notosans/v27/o-0IIpQlx3QUlC5A4PNr5TRASf6M7Q.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:59.936Z] GET https://cdn.taboola.com/libtrc/tr5?abgroup=trecs-3288-fix-served-sizes-reporting-on-explore-more-display-items_ctrl&pub=espn-network → 200 (180ms, 3B)
[2026-06-07T02:17:59.941Z] GET https://gum.criteo.com/sync?c=72&r=2&j=TRC.getRTUS → pending (?ms, ?B)
[2026-06-07T02:17:59.966Z] GET https://sp.auth.adobe.com/entitlement/v4/AccessEnablerProxy.html?9f61ce3349740cda7528 → 200 (662ms, 235B)
[2026-06-07T02:18:00.053Z] GET https://www.gstatic.com/recaptcha/releases/ne1iDVwClkE7nKD3uA9Vqsvl/recaptcha__en.js → 200 (451ms, 894957B)
[2026-06-07T02:18:00.446Z] GET https://pm-widget.taboola.com/espn-network/load.js → 200 (197ms, 3174B)
[2026-06-07T02:18:00.446Z] POST https://trc.taboola.com/espnnetwork-espn/trc/3/json?llvl=2&tim=10%3A18%3A00.444&lti=default-trecs-3288-fix-served-sizes-reporting-on-explore-more-display-items_ctrl&pubit=n&t=1&data=%7B%22id%22%3A%2298228%22%2C%22sd%22%3A%22%22%2C%22ui%22%3A%22%22%2C%22ii%22%3A%22%2Fnba%2Fteam%2Fstats%2F_%2Fname%2Fsa%2Fsan-antonio-spurs%22%2C%22it%22%3A%22other%22%2C%22vi%22%3A1780798680444%2C%22cv%22%3A%2220260604-9-RELEASE%22%2C%22uiv%22%3A%22default%22%2C%22u%22%3A%22https%3A%2F%2Fwww.espn.com%2Fnba%2Fteam%2Fstats%2F_%2Fname%2Fsa%2Fsan-antonio-spurs%22%2C%22qs%22%3A%22%22%2C%22bv%22%3A%220%22%2C%22btv%22%3A%220%22%2C%22ul%22%3A%5B%22en-US%22%5D%2C%22cos%22%3A%224g%22%2C%22bu%22%3A%22https%3A%2F%2Fwww.espn.com%2Fnba%2Fteam%2Fstats%2F_%2Fname%2Fsa%2Fsan-antonio-spurs%22%2C%22vpi%22%3A%22%2Fnba%2Fteam%2Fstats%2F_%2Fname%2Fsa%2Fsan-antonio-spurs%22%2C%22bad%22%3A-1%2C%22sw%22%3A1280%2C%22sh%22%3A720%2C%22bw%22%3A1280%2C%22bh%22%3A720%2C%22dw%22%3A1280%2C%22dh%22%3A2205%2C%22sde%22%3A%221.000%22%2C%22lt%22%3A%22default-trecs-3288-fix-served-sizes-reporting-on-explore-more-display-items_ctrl%22%2C%22nsid%22%3A%22espn-network%22%2C%22r%22%3A%5B%7B%22li%22%3A%22rbox-o2m%22%2C%22uip%22%3A%22below%20content%20-%20dead%20end%20-%20nba%22%2C%22orig_uip%22%3A%22below%20content%20-%20dead%20end%20-%20nba%22%2C%22s%22%3A3%2C%22uim%22%3A%22thumbnails-a%3Apub%3Despn-network%3Aabp%3D0%22%2C%22cd%22%3A2012.19%2C%22mw%22%3A1220%7D%5D%2C%22pev%22%3A%2231150%22%2C%22uad%22%3A%7B%22mobile%22%3Afalse%2C%22model%22%3A%22%22%2C%22platform%22%3A%22macOS%22%2C%22platformVersion%22%3A%2226.5.1%22%2C%22uaFullVersion%22%3A%22145.0.7632.6%22%7D%2C%22cacheKey%22%3A%22other%3D%2Fnba%2Fteam%2Fstats%2F_%2Fname%2Fsa%2Fsan-antonio-spurs%2Cbelow%20content%20-%20dead%20end%20-%20nba%3Dthumbnails-a%3Apub%3Despn-network%3Aabp%3D0%22%2C%22_cn%22%3A%22tions_1%22%2C%22lbt%22%3A1780584001285%2C%22wc%22%3Atrue%7D → 200 (258ms, ?B)
[2026-06-07T02:18:00.540Z] GET https://www.google.com/recaptcha/enterprise/anchor?ar=1&k=6LciB_gZAAAAAA_mwJ4G0XZ0BXWvLTt67V7YizXx&co=aHR0cHM6Ly9jZG4ucmVnaXN0ZXJkaXNuZXkuZ28uY29tOjQ0Mw..&hl=en&v=ne1iDVwClkE7nKD3uA9Vqsvl&size=invisible&anchor-ms=20000&execute-ms=30000&cb=euah2euhe7l0 → 200 (82ms, 54909B)
[2026-06-07T02:18:00.628Z] GET https://www.gstatic.com/recaptcha/releases/ne1iDVwClkE7nKD3uA9Vqsvl/styles__ltr.css → pending (?ms, ?B)
[2026-06-07T02:18:00.628Z] GET https://www.gstatic.com/recaptcha/releases/ne1iDVwClkE7nKD3uA9Vqsvl/recaptcha__en.js → 200 (15ms, 894957B)
[2026-06-07T02:18:00.629Z] GET https://sp.auth.adobe.com/entitlement/v4/AccessEnablerProxy.js → pending (?ms, ?B)
[2026-06-07T02:18:00.643Z] GET https://pm-widget.taboola.com/espn-network/pmk-20220605.9.js → pending (?ms, ?B)
[2026-06-07T02:18:00.712Z] POST https://ty-trc-events.taboola.com/espnnetwork-espn/log/2/debug?type=warn&msg=adgb%20-%20not%20initialized.&lt=default-trecs-3288-fix-served-sizes-reporting-on-explore-more-display-items_ctrl&tvi48=28907&tvi50=30819&tim=10%3A18%3A00.711&id=63218&cv=20260604-9-RELEASE&llvl=2 → pending (?ms, ?B)
[2026-06-07T02:18:00.712Z] POST https://ty-trc-events.taboola.com/espnnetwork-espn/log/3/abtests?route=TY%3ATY%3AV&lti=default-trecs-3288-fix-served-sizes-reporting-on-explore-more-display-items_ctrl&tvi48=28907&tvi50=30819&ri=d48726b582dadf392e65239b334eaa72&sd=v2_2fa71d9e273704cdb260075ada07af38_f0100220-852a-412b-88a3-f1a27398fd2e-tuct111e5a58_1780798680_1780798680_CNawjgYQwqhJGPza_f7pMyABKAEwMDjK_QdA9qAQSNru1gNQ4cIJWABgAGjc6tGZ9I2O2UJwAYABAIgBAJABAA&ui=f0100220-852a-412b-88a3-f1a27398fd2e-tuct111e5a58&pi=%2Fnba%2Fteam%2Fstats%2F_%2Fname%2Fsa%2Fsan-antonio-spurs&wi=7174992810494690378&pt=other&vi=1780798680444&tim=10%3A18%3A00.711&id=49044&llvl=2&cv=20260604-9-RELEASE&d=%7B%22abTestsEventType%22%3A%22simple%22%2C%22name%22%3A%22traffic-type%22%2C%22type%22%3A%22default%22%2C%22eventTime%22%3A1780798680711%7D → pending (?ms, ?B)
[2026-06-07T02:18:00.730Z] GET https://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_256%2Cw_460%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/https%3A//cdn.taboola.com/libtrc/static/thumbnails/d94882679da0cb0fe29465c742a947b4.jpg → 200 (239ms, 18362B)
[2026-06-07T02:18:00.731Z] GET https://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_256%2Cw_460%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/https%3A//cdn.taboola.com/libtrc/static/thumbnails/5058cf7ffc41dff5e1bc586a4d56ef9f.jpg → 200 (249ms, 38814B)
[2026-06-07T02:18:00.731Z] GET https://images.taboola.com/taboola/image/fetch/c_crop%2Cf_jpg%2Cq_auto%2Ce_sharpen%2Car_1.7778%2Cw_1200%2Cx_0%2Cy_128/c_fill%2Cw_460%2Ch_256/https%3A//cdn.taboola.com/libtrc/static/thumbnails/3a563ce04a9e2f0815036b95f7f363f9.jpg → 200 (218ms, 14104B)
[2026-06-07T02:18:00.731Z] GET https://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_256%2Cw_460%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/https%3A//cdn.taboola.com/libtrc/static/thumbnails/e8fc873f2b8ec8c4dc009c61305d1b33.jpg → 200 (249ms, 15004B)
[2026-06-07T02:18:00.731Z] GET https://images.taboola.com/taboola/image/fetch/c_crop%2Cf_jpg%2Cq_auto%2Ce_sharpen%2Car_1.7778%2Cw_1280%2Cx_0%2Cy_0/c_fill%2Cw_460%2Ch_256/http%3A//cdn.taboola.com/libtrc/static/thumbnails/27f64b45b55c21b8886d554bddf738b4.png → 200 (218ms, 10726B)
[2026-06-07T02:18:00.731Z] GET https://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_256%2Cw_460%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/http%3A//cdn.taboola.com/libtrc/static/thumbnails/5968b810ff94c1d885a123bffaf15026.jpg → 200 (231ms, 18252B)
[2026-06-07T02:18:00.734Z] GET https://cdn.taboola.com/static/91/9117a6d9-cbf1-4ea6-8caa-7461ce6554bc.gif → 200 (200ms, 3915B)
